Model,MAE,RMSE,R2,Train_Time_sec
Ridge,50.124889801970205,79.98852128881197,0.4120376795650106,0.22487449645996094
Random Forest,44.56651365803187,72.11892277096261,0.5220388241215959,3.420823812484741
Extra Trees,44.24321303389118,72.21034256343674,0.5208263044568406,1.62766432762146
Tuned Random Forest,43.981324837636485,71.58115096898278,0.5291403091529383,40.703025817871094
